Name,AXA Category,Organiser,Length (Hours),Avg. User Rating,Total Enrollments,Total Ratings,Difficulty,Public URL,AXA URL
Negociación 4.0,"New Courses, Spanish Selection",Universidad Austral,13,4.648648648648648,6062,74,Beginner,https://www.coursera.org/learn/negociacion-iae,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=Bn8dOlhyEeiRYBKSsYzhZg&productType=course&showMiniModal=true
Negocios Internacionales I,"New Courses, Spanish Selection",University of New Mexico,7,4.652236652236652,21576,693,Mixed,https://www.coursera.org/learn/negocios-internacionales,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=mbi6rVy-EeWd6BJKWlaBIw&productType=course&showMiniModal=true
Negocios Internacionales II,"New Courses, Spanish Selection",University of New Mexico,7,4.670103092783505,5655,194,Mixed,https://www.coursera.org/learn/negocios-internacionales-2,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=1HMhd4JEEeWxQQoymFg8zQ&productType=course&showMiniModal=true
Orden y manejo del tiempo,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,10,4.750865051903114,8590,289,Beginner,https://www.coursera.org/learn/orden,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=5qFfbA5AEeaoZBKRisF_Dw&productType=course&showMiniModal=true
Pensamiento Sistémico,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,12,4.672754946727549,56539,657,Mixed,https://www.coursera.org/learn/pensamiento-sistemico,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=_PYZqCETEeW5Rwo0txKkgQ&productType=course&showMiniModal=true
Pilares de Marketing Digital,"New Courses, Spanish Selection",Universidad Austral,23,4.73469387755102,17104,637,Beginner,https://www.coursera.org/learn/marketing-digital-pilares,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=LEKyOA4REeaX4g6xdats6w&productType=course&showMiniModal=true
Programando con Java para aplicaciones Android,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,18,4.677491601343785,36585,893,Mixed,https://www.coursera.org/learn/programandoconjava,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=dZuQ4VicEeWbIxLOmbkGCQ&productType=course&showMiniModal=true
Proyecto final - Construyendo una aplicación profesional con Android,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,11,4.909090909090909,96,11,Mixed,https://www.coursera.org/learn/construyendo-android-proyecto,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=iTN0QbWlEeWbNBLZhfEI2Q&productType=course&showMiniModal=true
Proyecto final sobre negociación para un mejor clima laboral,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,11,4.526315789473684,142,19,Mixed,https://www.coursera.org/learn/proyecto-negociacion,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=_D2Jt7WpEeWkwBIgnN7tuw&productType=course&showMiniModal=true
Razonamiento artificial,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,18,4.4,1344,15,Intermediate,https://www.coursera.org/learn/razonamiento-artificial,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=Gbmh9afnEei6dQ6cCLo47A&productType=course&showMiniModal=true
Redacción de documentos empresariales de gran impacto,"New Courses, Spanish Selection","University of California, Irvine",6,4.418604651162791,15185,172,Mixed,https://www.coursera.org/learn/escritura-en-negocios,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=gDXTbUEjEeWKOBLv1z6n9w&productType=course&showMiniModal=true
Reliable Cloud Infrastructure: Design and Process en Español,"New Courses, Spanish Selection",Google Cloud,17,4.787878787878788,227,33,Intermediate,https://www.coursera.org/learn/cloud-infrastructure-design-process-es,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=THEtU6WMEeiECQr9tzDo4g&productType=course&showMiniModal=true
"Requerimientos, planeación, ejecución y medición de estrategias para redes sociales","New Courses, Spanish Selection",Tecnológico de Monterrey,17,4.5,19688,300,Mixed,https://www.coursera.org/learn/mercadotecnia-sociales,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=6MNScTfTEeWJaxK5AT4frw&productType=course&showMiniModal=true
Resolución de problemas por búsqueda,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,16,4.333333333333333,689,3,Beginner,https://www.coursera.org/learn/resolucion-busqueda,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=79uYE6fnEeiKWAotma1b7g&productType=course&showMiniModal=true
Sesenta años de inteligencia artificial,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,10,4.728395061728395,3400,81,Beginner,https://www.coursera.org/learn/sesenta-anos-inteligencia-artificial,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=ggA7lqfmEei2UxLIFK_Ztg&productType=course&showMiniModal=true
Spanish Vocabulary: Cultural Experience,"New Courses, Spanish Selection","University of California, Davis",21,4.724409448818897,10320,127,Beginner,https://www.coursera.org/learn/spanish-vocabulary-cultural-experience,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=QmN8cYQ4EeaYWg6J-BCMyw&productType=course&showMiniModal=true
Swift: programar para iOS,"New Courses, Spanish Selection",Tecnológico de Monterrey,22,4.649006622516556,15100,302,Mixed,https://www.coursera.org/learn/swift,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=JumPbBn5EeWwrBKfKrqlSQ&productType=course&showMiniModal=true
